Stock,Month,Actual_Closing_Price,Predicted_Closing_Price
HDFCLIFE.NS,2024-02,582.0,579.5054974365235
HDFCLIFE.NS,2024-03,633.3499755859375,652.5714984130859
HDFCLIFE.NS,2024-04,583.6500244140625,591.8975201416016
HDFCLIFE.NS,2024-05,549.8499755859375,553.1864810180664
HDFCLIFE.NS,2024-06,595.0499877929688,587.2134973144531
HDFCLIFE.NS,2024-07,715.5,678.4715008544922
HDFCLIFE.NS,2024-08,738.7000122070312,732.5740106201172
HDFCLIFE.NS,2024-09,718.0,736.9160021972656
HDFCLIFE.NS,2024-10,720.1500244140625,716.2505194091797
HDFCLIFE.NS,2024-11,657.75,676.1790008544922
HDFCLIFE.NS,2024-12,636.5,628.303515625
ULTRACEMCO.NS,2024-01,10167.349609375,10600.9458203125
ULTRACEMCO.NS,2024-02,9892.400390625,9927.277734375
ULTRACEMCO.NS,2024-03,9749.150390625,9874.369296875
ULTRACEMCO.NS,2024-04,9971.849609375,10000.4503515625
ULTRACEMCO.NS,2024-05,9915.5,10055.1273828125
ULTRACEMCO.NS,2024-06,11667.900390625,11187.24669921875
ULTRACEMCO.NS,2024-07,11887.2001953125,11743.722724609375
ULTRACEMCO.NS,2024-08,11301.900390625,11596.762783203125
ULTRACEMCO.NS,2024-09,11802.0,11593.845107421876
ULTRACEMCO.NS,2024-10,11065.650390625,11336.93578125
ULTRACEMCO.NS,2024-11,11202.150390625,11184.7876953125
ULTRACEMCO.NS,2024-12,11848.5,11643.78158203125
CIPLA.NS,2024-01,1351.0,1317.6924963378906
CIPLA.NS,2024-02,1480.3499755859375,1476.1669787597657
CIPLA.NS,2024-03,1496.949951171875,1509.484462890625
CIPLA.NS,2024-04,1400.0,1436.588505859375
CIPLA.NS,2024-05,1447.199951171875,1420.8255187988282
CIPLA.NS,2024-06,1480.800048828125,1490.7105249023436
CIPLA.NS,2024-07,1544.300048828125,1559.7039831542968
CIPLA.NS,2024-08,1654.9000244140625,1633.5685180664063
CIPLA.NS,2024-09,1654.0999755859375,1604.927967529297
CIPLA.NS,2024-10,1551.75,1616.5245092773437
CIPLA.NS,2024-11,1533.9000244140625,1574.533514404297
CIPLA.NS,2024-12,1477.4000244140625,1489.1297680664063
NESTLEIND.NS,2024-01,2506.0,2631.8145166015624
NESTLEIND.NS,2024-02,2596.199951171875,2532.3134912109376
NESTLEIND.NS,2024-03,2622.35009765625,2613.9430346679687
NESTLEIND.NS,2024-04,2507.39990234375,2576.796965332031
NESTLEIND.NS,2024-05,2354.89990234375,2475.4484228515626
NESTLEIND.NS,2024-06,2551.64990234375,2543.2424438476564
NESTLEIND.NS,2024-07,2456.35009765625,2702.9424755859377
NESTLEIND.NS,2024-08,2500.75,2575.3454833984374
NESTLEIND.NS,2024-09,2689.949951171875,2628.3629565429687
NESTLEIND.NS,2024-10,2262.949951171875,2743.446462402344
NESTLEIND.NS,2024-11,2234.64990234375,2478.1815014648437
NESTLEIND.NS,2024-12,2267.800048828125,2233.2310375976563
HEROMOTOCO.NS,2024-01,4621.5498046875,4033.3045825195313
HEROMOTOCO.NS,2024-02,4426.5,4529.848537597656
HEROMOTOCO.NS,2024-03,4722.2998046875,4511.8625
HEROMOTOCO.NS,2024-04,4543.0498046875,4682.52990234375
HEROMOTOCO.NS,2024-05,5119.60009765625,4588.532055664063
HEROMOTOCO.NS,2024-06,5579.60009765625,5258.548505859375
HEROMOTOCO.NS,2024-07,5488.4501953125,5563.087607421875
HEROMOTOCO.NS,2024-08,5455.39990234375,5527.030927734375
HEROMOTOCO.NS,2024-09,5712.39990234375,5760.023393554688
HEROMOTOCO.NS,2024-10,4989.5498046875,5272.96390625
HEROMOTOCO.NS,2024-11,4761.7001953125,4781.032651367187
HEROMOTOCO.NS,2024-12,4629.60009765625,4718.916020507812
GRASIM.NS,2024-01,2175.0,2207.4169799804686
GRASIM.NS,2024-02,2191.39990234375,2200.256435546875
GRASIM.NS,2024-03,2287.300048828125,2300.070029296875
GRASIM.NS,2024-04,2411.64990234375,2496.5315454101565
GRASIM.NS,2024-05,2316.25,2450.8995385742187
GRASIM.NS,2024-06,2670.449951171875,2599.7464624023437
GRASIM.NS,2024-07,2776.75,2824.6830004882813
GRASIM.NS,2024-08,2698.85009765625,3097.5460107421877
GRASIM.NS,2024-09,2795.550048828125,2789.6654638671876
GRASIM.NS,2024-10,2695.85009765625,2816.9355078125
GRASIM.NS,2024-11,2606.25,2718.259938964844
GRASIM.NS,2024-12,2701.89990234375,2734.3349267578124
TITAN.NS,2024-01,3697.550048828125,3602.880031738281
TITAN.NS,2024-02,3624.39990234375,3641.429440917969
TITAN.NS,2024-03,3801.800048828125,3768.585048828125
TITAN.NS,2024-04,3589.25,3667.4124926757813
TITAN.NS,2024-05,3241.89990234375,3424.9314428710936
TITAN.NS,2024-06,3404.199951171875,3392.6044848632814
TITAN.NS,2024-07,3458.949951171875,3619.7040283203123
TITAN.NS,2024-08,3565.14990234375,3531.978933105469
TITAN.NS,2024-09,3823.949951171875,3759.785979003906
TITAN.NS,2024-10,3267.050048828125,3328.156022949219
TITAN.NS,2024-11,3249.0,3245.2374975585935
TITAN.NS,2024-12,3470.10009765625,3360.410048828125
BPCL.NS,2024-01,251.1750030517578,247.36550247192383
BPCL.NS,2024-02,301.92498779296875,285.30249481201173
BPCL.NS,2024-03,301.20001220703125,350.17350494384766
BPCL.NS,2024-04,303.67498779296875,336.770993347168
BPCL.NS,2024-05,313.8999938964844,312.17525268554687
BPCL.NS,2024-06,303.95001220703125,318.24901123046874
BPCL.NS,2024-07,350.04998779296875,366.3689956665039
BPCL.NS,2024-08,357.6499938964844,352.5679962158203
BPCL.NS,2024-09,369.95001220703125,368.968508605957
BPCL.NS,2024-10,310.75,343.13450225830076
BPCL.NS,2024-11,292.1000061035156,305.40950378417966
BPCL.NS,2024-12,300.3500061035156,298.3640057373047
ONGC.NS,2024-01,252.25,233.45410095214845
ONGC.NS,2024-02,264.6000061035156,265.255496673584
ONGC.NS,2024-03,268.04998779296875,267.2849896240234
ONGC.NS,2024-04,282.8500061035156,269.87749084472654
ONGC.NS,2024-05,264.3500061035156,274.24700531005857
ONGC.NS,2024-06,274.20001220703125,268.84400360107423
ONGC.NS,2024-07,334.20001220703125,313.35600708007814
ONGC.NS,2024-08,330.75,339.1640017700195
ONGC.NS,2024-09,297.6000061035156,308.17500549316406
ONGC.NS,2024-10,266.1499938964844,274.4679977416992
ONGC.NS,2024-11,256.70001220703125,262.5860040283203
ONGC.NS,2024-12,260.04998779296875,255.39515228271483
GAIL.NS,2024-01,172.60000610351562,168.41460388183594
GAIL.NS,2024-02,182.25,182.4557992553711
GAIL.NS,2024-03,181.0500030517578,190.27700271606446
GAIL.NS,2024-04,209.10000610351562,204.77280212402343
GAIL.NS,2024-05,204.3000030517578,208.24980331420898
GAIL.NS,2024-06,219.5500030517578,238.14350067138673
GAIL.NS,2024-07,240.97000122070312,243.55539825439453
GAIL.NS,2024-08,237.69000244140625,239.28700057983397
GAIL.NS,2024-09,240.2899932861328,240.74779602050782
GAIL.NS,2024-10,199.99000549316406,238.80869979858397
GAIL.NS,2024-11,199.4600067138672,198.93350555419923
GAIL.NS,2024-12,210.41000366210938,203.120604095459
ZEEL.NS,2024-01,173.10000610351562,216.53375274658202
ZEEL.NS,2024-02,160.9499969482422,167.2019990539551
ZEEL.NS,2024-03,138.5500030517578,145.1977032470703
ZEEL.NS,2024-04,146.9499969482422,151.74429779052736
ZEEL.NS,2024-05,148.89999389648438,152.6663983154297
ZEEL.NS,2024-06,151.7899932861328,155.07389541625977
ZEEL.NS,2024-07,148.6699981689453,149.93049865722656
ZEEL.NS,2024-08,140.77999877929688,140.34719848632812
ZEEL.NS,2024-09,137.6999969482422,138.21719802856444
ZEEL.NS,2024-10,122.1500015258789,123.9243009185791
ZEEL.NS,2024-11,129.16000366210938,126.220902633667
ZEEL.NS,2024-12,143.58999633789062,141.77849838256836
TATAMOTORS.NS,2024-01,884.2000122070312,868.7330065917969
TATAMOTORS.NS,2024-02,950.2000122070312,899.371015625
TATAMOTORS.NS,2024-03,992.7999877929688,1008.5859991455078
TATAMOTORS.NS,2024-04,1007.9000244140625,1012.4870190429688
TATAMOTORS.NS,2024-05,923.0,957.6660046386719
TATAMOTORS.NS,2024-06,989.75,988.46900390625
TATAMOTORS.NS,2024-07,1156.6500244140625,1105.740521850586
TATAMOTORS.NS,2024-08,1111.3499755859375,1122.00548828125
TATAMOTORS.NS,2024-09,974.6500244140625,1014.818515625
TATAMOTORS.NS,2024-10,834.0499877929688,1018.3780187988282
TATAMOTORS.NS,2024-11,786.4500122070312,807.9995135498046
TATAMOTORS.NS,2024-12,816.7999877929688,825.0154968261719
SBILIFE.NS,2024-01,1401.1500244140625,1419.4860144042968
SBILIFE.NS,2024-02,1552.550048828125,1505.9975329589843
SBILIFE.NS,2024-03,1500.25,1506.0470056152344
SBILIFE.NS,2024-04,1436.550048828125,1443.5025329589844
SBILIFE.NS,2024-05,1386.4000244140625,1403.8510229492188
SBILIFE.NS,2024-06,1491.949951171875,1480.5049780273437
SBILIFE.NS,2024-07,1753.6500244140625,1672.3880236816406
SBILIFE.NS,2024-08,1850.300048828125,1834.7745288085937
SBILIFE.NS,2024-09,1844.0,1848.4505004882812
SBILIFE.NS,2024-10,1622.1500244140625,1707.016025390625
SBILIFE.NS,2024-11,1437.75,1431.7380065917969
SBILIFE.NS,2024-12,1448.550048828125,1418.268536376953
INDUSINDBK.NS,2024-01,1534.050048828125,1566.1410375976564
INDUSINDBK.NS,2024-02,1474.9000244140625,1512.322022705078
INDUSINDBK.NS,2024-03,1553.0,1537.1995092773439
INDUSINDBK.NS,2024-04,1515.699951171875,1478.0725048828126
INDUSINDBK.NS,2024-05,1461.8499755859375,1484.618240966797
INDUSINDBK.NS,2024-06,1464.5,1486.6380102539063
INDUSINDBK.NS,2024-07,1427.800048828125,1449.3905432128906
INDUSINDBK.NS,2024-08,1425.25,1472.2960021972656
INDUSINDBK.NS,2024-09,1447.5999755859375,1510.6655017089843
INDUSINDBK.NS,2024-10,1055.5999755859375,1161.139490966797
INDUSINDBK.NS,2024-11,995.8499755859375,1056.1194909667968
INDUSINDBK.NS,2024-12,990.3499755859375,992.0984832763672
AMBUJACEM.NS,2024-01,560.2999877929688,550.7069885253907
AMBUJACEM.NS,2024-02,605.9000244140625,535.6180001831054
AMBUJACEM.NS,2024-03,612.3499755859375,607.3564910888672
AMBUJACEM.NS,2024-04,619.9000244140625,614.3045147705078
AMBUJACEM.NS,2024-05,634.0499877929688,627.1219976806641
AMBUJACEM.NS,2024-06,670.25,664.2465002441406
AMBUJACEM.NS,2024-07,679.9500122070312,680.0785070800781
AMBUJACEM.NS,2024-08,617.0499877929688,655.3750048828125
AMBUJACEM.NS,2024-09,632.5499877929688,623.0524926757812
AMBUJACEM.NS,2024-10,580.5499877929688,590.9534948730469
AMBUJACEM.NS,2024-11,531.5,543.1369967651367
AMBUJACEM.NS,2024-12,565.2999877929688,553.2709976196289
DIVISLAB.NS,2024-01,3670.60009765625,3709.088552246094
DIVISLAB.NS,2024-02,3488.800048828125,3576.18751953125
DIVISLAB.NS,2024-03,3445.300048828125,3522.77951171875
DIVISLAB.NS,2024-04,4002.39990234375,3509.2304345703124
DIVISLAB.NS,2024-05,4307.2001953125,4316.208623046875
DIVISLAB.NS,2024-06,4596.4501953125,4538.8090307617185
